Jname,probability,fermi_name
J0022-2221,0.00034984800731755,
J0022-3737,0.0032221812289208,
J0023+0101,0.4948279399387161,
J0023+0417,0.07395918141264696,
J0023+0429,0.0168688340345397,
J0023+0552,0.005189911656998407,
J0023+1136,0.16865236498415465,
J0023+1544,0.9046005606651306,
J0023+1904,0.0003337575890327173,
J0023+2539,0.0001924097571948845,
J0023+2734,2.56778307203831e-05,
J0023+2915,0.007286506704986,
J0023+3754,0.5040490333922207,
J0023+4456,0.6473961451090873,4FGL J0023.7+4457
J0023-0253,0.5326335448771715,
J0023-0450,0.0014126967871561,
J0023-1422,2.5058774895114766e-06,
J0023-1431,0.33627620093974997,
J0023-1447,0.0010052941506728,
J0023-2500,0.23471490293741223,
J0023-2941,5.46510307231074e-07,
J0024+0349,0.10826269014069105,4FGL J0024.7+0349
J0024+0730,0.46899332059547305,
J0024+1602,2.0717095139843877e-05,4FGL J0023.9+1603
J0024+2439,0.35788454070487724,
J0024+2510,0.5228973124176264,
J0024+2911,0.0015403273282572,
J0024+4644,0.6575543425744399,4FGL J0024.4+4647
J0024+5836,5.7986581850855146e-05,
J0024+6801,0.4922279086895286,
J0024-0412,0.6297105400638732,
J0024-0811,0.3396749398452812,4FGL J0024.5-0810
J0024-0941,0.07987520971801129,
J0024-1042,0.00037244496206766977,
J0024-2928,0.0029848054073227013,
J0024-4202,0.5398985264279569,
J0025+0837,0.9988893270492554,
J0025+1817,2.5939821171050426e-05,
J0025+3316,1.906072839119588e-05,
J0025+3919,0.8689161748625338,
J0025+4243,0.0091060996055603,
J0025+4534,0.5001812883128877,
J0025+6644,0.0201552882790565,
J0025-0942,0.0026481684326426502,
J0025-1247,0.332095291504326,
J0025-1441,8.5237415987649e-06,
J0025-2227,0.5617801440220016,4FGL J0025.2-2231
J0025-2602,0.5071064010262489,
J0025-2717,0.017283351453794876,
J0025-3718,0.9247389733791351,
J0026+3508,0.5433058483526111,
J0026+5432,0.9990299642086029,
J0026-0842,0.00010564972490100884,
J0026-1112,0.4173062775773359,
J0026-1318,0.0040537767345085,
J0026-1556,0.0035648992779897,
J0026-3512,0.46835076995290964,
J0026-3553,0.4366157241165638,
J0027+0136,2.22810929528805e-06,
J0027+0929,0.45885227591497824,
J0027+2241,0.46620661932975055,
J0027+2607,0.0001815071955206,
J0027+2830,0.17131211298207435,
J0027+4514,0.00016472953779768525,
J0027+5958,0.009019269815316476,
J0027-0503,0.9505072236061096,
J0027-3147,0.49617467075586313,
J0027-3346,1.434038833636464e-05,
J0027-3656,0.4981615589058492,
J0028+0757,0.10403557290555908,
J0028+0828,0.008394213769861372,
J0028+1707,0.0007032388821243499,
